198.337443   6.061278 0.02350  -20.00 -20.67
208.389714  37.386979 0.02489  -20.00 -21.00
198.635221  30.705779 0.02490  -20.00 -20.67
170.609779  24.299064 0.02513  -20.00 -20.94
320.876416  -7.745973 0.02765  -20.00 -20.70
216.534959   5.237927 0.02782  -20.00 -20.82
205.562612   1.857455 0.02855  -20.00 -20.91
139.199129  49.780448 0.02856  -20.00 -20.96
166.995916  35.463251 0.02871  -20.00 -20.77
139.409715  16.440480 0.02886  -20.00 -20.95
135.797201  13.632342 0.02901  -20.00 -20.99
244.727520  35.153919 0.02971  -20.00 -20.90
226.858277   7.116731 0.03089  -20.00 -20.96
250.250322  33.773059 0.03116  -20.00 -21.00
226.196782   8.171183 0.03137  -20.00 -20.75
243.441811  22.918998 0.03189  -20.00 -20.90
167.861890  22.970767 0.03224  -20.00 -21.05
167.770299  57.948633 0.03387  -20.00 -20.65
194.610942  52.094591 0.03404  -20.00 -21.01
241.403318  17.802088 0.03405  -20.00 -20.86
227.254329  -0.165900 0.03450  -20.00 -20.95
165.586398  10.243122 0.03571  -20.00 -20.94
167.034610  45.984614 0.03615  -20.00 -20.55
253.094461  30.711042 0.03639  -20.00 -20.90
228.218076  51.398685 0.03651  -20.00 -20.58
219.683622  20.202351 0.03740  -20.00 -20.45
 20.050445  14.561292 0.03778  -20.00 -21.18
230.038962  21.904772 0.03832  -20.00 -21.00
164.747140   6.522513 0.03936  -20.00 -20.94
195.452772   4.992019 0.03946  -20.00 -20.67
167.896256  26.307384 0.03951  -20.00 -20.99
254.844979  41.042456 0.04062  -20.00 -20.91
220.507540  63.330721 0.04091  -20.00 -20.61
162.545214  35.033694 0.04119  -20.00 -20.58
243.747795  50.341261 0.04120  -20.00 -20.94
172.665989  18.443629 0.04150  -20.00 -20.77
142.514851  34.223699 0.04205  -20.00 -21.01
222.791083  18.575398 0.04265  -20.00 -20.93
202.900580  23.314081 0.04326  -20.00 -20.96
169.908361  33.449405 0.04328  -20.00 -20.89
230.140298   7.953368 0.04335  -20.00 -20.70
184.734977  60.168800 0.04371  -20.00 -20.78
217.435863  53.828323 0.04381  -20.00 -20.92
 23.019076  15.500342 0.04391  -20.00 -20.85
140.957763  17.156507 0.04404  -20.00 -20.41
159.072391  49.371929 0.04419  -20.00 -20.91
168.330986  29.811079 0.04514  -20.00 -20.94
139.872970  34.302839 0.04582  -20.00 -20.65
229.340289   7.346061 0.04585  -20.00 -20.59
120.295615  30.413008 0.04599  -20.00 -20.96
130.465558  10.443647 0.04600  -20.00 -20.94
243.570590  27.208978 0.04606  -20.00 -20.99
129.522817   4.328383 0.04681  -20.00 -20.92
 39.667223   0.484243 0.04685  -20.00 -20.64
224.260152  24.685694 0.04706  -20.00 -20.94
148.087264   0.970331 0.04732  -20.00 -21.01
224.602858   8.534532 0.04736  -20.00 -20.97
173.583559   2.773760 0.04740  -20.00 -20.76
148.115410  39.990443 0.04769  -20.00 -20.94
159.804794  12.191931 0.04790  -20.00 -21.00
142.183938  13.821048 0.04891  -20.00 -21.01
195.893177   6.953629 0.04908  -20.00 -20.80
184.755778  67.145149 0.04909  -20.00 -20.49
136.412842  33.006849 0.04915  -20.00 -20.47
181.913879  40.121023 0.04940  -20.00 -20.42
194.468419  12.263395 0.04962  -20.00 -20.59
160.763276  15.561164 0.05048  -20.00 -20.78
245.845878  13.544738 0.05056  -20.00 -20.94
181.438276  54.387249 0.05061  -20.00 -20.97
242.886493  33.793921 0.05136  -20.00 -20.51
146.209256  24.566158 0.05156  -20.00 -20.96
149.157607  36.602861 0.05169  -20.00 -20.76
210.873874  19.210185 0.05235  -20.00 -20.93
135.685056  17.710207 0.05236  -20.00 -20.66
153.948111  14.631436 0.05280  -20.00 -20.66
217.596000  16.938784 0.05287  -20.00 -20.65
 39.508147   0.323474 0.05305  -20.00 -20.87
164.820426  18.986002 0.05310  -20.00 -20.92
216.972257  16.195570 0.05339  -20.00 -20.71
256.760798  64.326062 0.05342  -20.00 -20.70
 28.178304  -9.560070 0.05346  -20.00 -20.81
127.778796  35.650994 0.05374  -20.00 -20.97
133.587465   9.340911 0.05405  -20.00 -20.66
 36.697350  -9.066978 0.05427  -20.00 -20.77
164.880852  29.870727 0.05455  -20.00 -20.97
212.671061   1.339412 0.05460  -20.00 -20.39
326.859607  -7.846422 0.05499  -20.00 -20.97
126.483936  23.774723 0.05506  -20.00 -20.90
149.155736  27.260837 0.05561  -20.00 -20.72
243.638806  36.389494 0.05572  -20.00 -20.88
197.388277  51.500791 0.05590  -20.00 -20.62
250.814303  25.895583 0.05600  -20.00 -20.95
200.716201  52.375975 0.05604  -20.00 -20.75
127.376950  32.216810 0.05661  -20.00 -20.26
227.277003  28.447042 0.05759  -20.00 -20.78
129.370743  26.014367 0.05788  -20.00 -20.53
224.737185  31.786672 0.05797  -20.00 -20.65
171.881122  56.975194 0.05802  -20.00 -20.71
133.817281   3.035823 0.05831  -20.00 -20.91
 37.362154  -0.702322 0.05893  -20.00 -20.83
229.814207  20.019485 0.05895  -20.00 -20.95
186.230302  31.144141 0.05910  -20.00 -20.49
231.677517  -1.353606 0.05929  -20.00 -20.73
240.999750  30.162413 0.05937  -20.00 -20.95
177.991166  53.479404 0.05947  -20.00 -21.00
121.016044  29.042835 0.05956  -20.00 -20.54
228.473362  33.387418 0.05972  -20.00 -20.54
201.777616  58.533470 0.05991  -20.00 -20.98
164.213593  36.708767 0.06012  -20.00 -20.52
170.762674  40.980979 0.06014  -20.00 -20.80
254.510736  22.160205 0.06025  -20.00 -20.81
324.469238  -7.217511 0.06030  -20.00 -20.79
193.369314  46.494885 0.06060  -20.00 -20.91
194.338289  61.469083 0.06088  -20.00 -20.95
210.830238  16.634935 0.06097  -20.00 -20.91
176.527130  42.855235 0.06102  -20.00 -20.68
182.401938  31.586532 0.06102  -20.00 -20.61
139.563605  63.771185 0.06112  -20.00 -20.87
149.786633  10.291598 0.06114  -20.00 -20.67
145.295865   3.115445 0.06127  -20.00 -20.95
203.696902  22.830359 0.06151  -20.00 -20.94
143.513751  54.278545 0.06162  -20.00 -20.94
339.138328  -7.935113 0.06199  -20.00 -20.48
 23.722882  14.715500 0.06214  -20.00 -20.89
176.040373  15.685191 0.06223  -20.00 -20.81
124.344744  34.673605 0.06233  -20.00 -20.72
327.593918   0.384733 0.06238  -20.00 -20.67
255.136234  25.399693 0.06260  -20.00 -20.94
130.050209  23.977451 0.06269  -20.00 -20.57
140.056056  28.989036 0.06304  -20.00 -20.97
246.738742  39.382898 0.06309  -20.00 -20.56
